Artist,Spotify Followers,Spotify Popularity,YouTube Subscribers,YouTube Views,YouTube Videos,Spotify Followers Growth,YouTube Views Growth
BTS,78939997,88,80300000,24992181019,2797,1.0,0.651134
Blackpink,53799956,80,96600000,38382531565,607,0.68153,1.0
